y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
0.0,5.0,0,0,0.0,0.0,0.0,0.0,0.658282057210557,0.5686354245596149
0.25,4.966666666666667,0,0,0.0,0.0,0.0,0.0,0.667328644895532,0.5788928280691873
0.5,4.933333333333334,0,0,0.0,0.0,0.0,0.0,0.6677014025022707,0.5797037933486668
0.75,4.9,0,0,0.0,0.0,0.0,0.0,0.6849657072736163,0.5990315915371455
1.0,4.866666666666666,0,0,0.0,0.0,0.0,0.0,0.689275730824859,0.604199288694377
1.25,4.833333333333333,0,0,0.0,0.0,0.0,0.0,0.7002947635637438,0.616779136884304
1.5,4.8,0,0,0.0,0.0,0.0,0.0,0.7102592854829449,0.6282428937101407
1.75,4.766666666666667,0,0,0.0,0.0,0.0,0.0,0.7164165419547779,0.6355339048814928
2.0,4.733333333333333,0,0,0.0,0.0,0.0,0.0,0.7260769055772831,0.6467305536369558
2.25,4.7,0,0,0.0,0.0,0.0,0.0,0.7204094060126174,0.6410625227197784
2.5,4.666666666666667,0,0,0.0,0.0,0.0,0.0,0.7417722346993249,0.6652036137512897
2.75,4.633333333333334,0,0,0.0,0.0,0.0,0.0,0.7440923161150418,0.6683706606801961
3.0,4.6,0,0,0.0,0.0,0.0,0.0,0.7453392916515929,0.6703972653888923
3.25,4.566666666666666,0,0,0.0,0.0,0.0,0.0,0.7604333880308575,0.6877196638718621
3.5,4.533333333333333,0,0,0.0,0.0,0.0,0.0,0.7557342661036991,0.6832409869685738
3.75,4.5,0,0,0.0,0.0,0.0,0.0,0.7642880574072506,0.6933881090385258
4.0,4.466666666666667,0,0,0.0,0.0,0.0,0.0,0.7620675691576632,0.6917340086062148
4.25,4.433333333333334,0,0,0.0,0.0,0.0,0.0,0.7731395837020911,0.7046779063616899
4.5,4.4,0,0,0.0,0.0,0.0,0.0,0.7732995860591698,0.7056814052788782
4.75,4.366666666666667,0,0,0.0,0.0,0.0,0.0,0.7791948604126194,0.7129887832841745
5.0,4.333333333333333,0,0,0.0,0.0,0.0,0.0,0.7939360030424466,0.730021866778635
5.25,4.3,0,0,0.0,0.0,0.0,0.0,0.788099061961646,0.7245056500517788
5.5,4.266666666666667,0,0,0.0,0.0,0.0,0.0,0.7966407866690489,0.7347647998867225
5.75,4.233333333333333,0,0,0.0,0.0,0.0,0.0,0.8103170426514614,0.7506667782712116
6.0,4.2,0,0,0.0,0.0,0.0,0.0,0.8135996447615153,0.7551962882571212
6.25,4.166666666666667,0,0,0.0,0.0,0.0,0.0,0.8124393908066256,0.7548982279568894
6.5,4.133333333333333,0,0,0.0,0.0,0.0,0.0,0.8118091430645022,0.7552248861593162
